Year,Waste Management Operation,Share_Pct,Share_Change
2004,Disposal - Incineration,0.14,
2006,Disposal - Incineration,0.11,-0.03
2008,Disposal - Incineration,0.09,-0.02
2010,Disposal - Incineration,0.29,0.2
2012,Disposal - Incineration,0.11,-0.18
2014,Disposal - Incineration,0.09,-0.02
2016,Disposal - Incineration,0.04,-0.05
2018,Disposal - Incineration,0.05,0.01
2020,Disposal - Incineration,0.05,0.0
2004,Disposal - Landfill,27.1,
2006,Disposal - Landfill,25.03,-2.07
2008,Disposal - Landfill,27.5,2.47
2010,Disposal - Landfill,21.71,-5.79
2012,Disposal - Landfill,19.52,-2.19
2014,Disposal - Landfill,12.52,-7.0
2016,Disposal - Landfill,13.59,1.07
2018,Disposal - Landfill,9.4,-4.19
2020,Disposal - Landfill,11.04,1.64
2004,Disposal - Landfill And Other,27.1,
2006,Disposal - Landfill And Other,25.1,-2.0
2008,Disposal - Landfill And Other,27.68,2.58
2010,Disposal - Landfill And Other,31.24,3.56
2012,Disposal - Landfill And Other,30.38,-0.86
2014,Disposal - Landfill And Other,21.49,-8.89
2016,Disposal - Landfill And Other,20.03,-1.46
2018,Disposal - Landfill And Other,14.28,-5.75
2020,Disposal - Landfill And Other,15.35,1.07
2004,Disposal - Other,0.0,
2006,Disposal - Other,0.07,0.07
2008,Disposal - Other,0.18,0.11
2010,Disposal - Other,9.52,9.34
2012,Disposal - Other,10.86,1.34
2014,Disposal - Other,8.97,-1.89
2016,Disposal - Other,6.44,-2.53
2018,Disposal - Other,4.88,-1.56
2020,Disposal - Other,4.31,-0.57
2010,Recovery - Backfilling,10.16,
2012,Recovery - Backfilling,11.78,1.62
2014,Recovery - Backfilling,17.87,6.09
2016,Recovery - Backfilling,21.54,3.67
2018,Recovery - Backfilling,24.67,3.13
2020,Recovery - Backfilling,25.5,0.83
2004,Recovery - Energy Recovery,0.62,
2006,Recovery - Energy Recovery,0.44,-0.18
2008,Recovery - Energy Recovery,0.43,-0.01
2010,Recovery - Energy Recovery,1.15,0.72
2012,Recovery - Energy Recovery,3.28,2.13
2014,Recovery - Energy Recovery,4.93,1.65
2016,Recovery - Energy Recovery,3.25,-1.68
2018,Recovery - Energy Recovery,6.92,3.67
2020,Recovery - Energy Recovery,5.97,-0.95
2010,Recovery - Recycling,7.88,
2012,Recovery - Recycling,6.15,-1.73
2014,Recovery - Recycling,8.13,1.98
2016,Recovery - Recycling,6.78,-1.35
2018,Recovery - Recycling,7.56,0.78
2020,Recovery - Recycling,6.14,-1.42
2004,Recovery - Recycling And Backfilling,45.04,
2006,Recovery - Recycling And Backfilling,49.26,4.22
2008,Recovery - Recycling And Backfilling,44.13,-5.13
2010,Recovery - Recycling And Backfilling,18.04,-26.09
2012,Recovery - Recycling And Backfilling,17.93,-0.11
2014,Recovery - Recycling And Backfilling,26.0,8.07
2016,Recovery - Recycling And Backfilling,28.32,2.32
2018,Recovery - Recycling And Backfilling,32.24,3.92
2020,Recovery - Recycling And Backfilling,31.64,-0.6
