"STATISTIC","Statistic Label","TLIST(A1)","Year","C04253V05027","Hazardousness","C04251V05025","Waste Category","C04252V05026","Waste Management Operation","UNIT","VALUE"
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","-","Total waste","-","All Waste treatment[TRT]","Tonnes","18227850"
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","-","Total waste","100","Disposal - landfill and other (D1-D7, D12)[DSP_L_OTH]","Tonnes","6404041"
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","-","Total waste","110","Disposal - landfill (D1, D5, D12)[DSP_L]","Tonnes","6404041"
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","-","Total waste","120","Disposal - incineration (D10)[DSP_I]","Tonnes","37413"
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","-","Total waste","130","Disposal - other (D2-D4, D6-D7)[DSP_OTH]","Tonnes","0"
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","-","Total waste","140","Recovery - energy recovery (R1)[RCV_E]","Tonnes","168553"
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","-","Total waste","150","Recovery - recycling and backfilling (R2-R11)[RCV_R_B]","Tonnes","11617843"
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","-","Total waste","160","Recovery - recycling[RCV_R]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","-","Total waste","170","Recovery - backfilling[RCV_B]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","120","Chemical and medical wastes (subtotal)[W01-05]","-","All Waste treatment[TRT]","Tonnes","102445"
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","120","Chemical and medical wastes (subtotal)[W01-05]","100","Disposal - landfill and other (D1-D7, D12)[DSP_L_OTH]","Tonnes","33887"
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","120","Chemical and medical wastes (subtotal)[W01-05]","110","Disposal - landfill (D1, D5, D12)[DSP_L]","Tonnes","33887"
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","120","Chemical and medical wastes (subtotal)[W01-05]","120","Disposal - incineration (D10)[DSP_I]","Tonnes","37390"
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","120","Chemical and medical wastes (subtotal)[W01-05]","130","Disposal - other (D2-D4, D6-D7)[DSP_OTH]","Tonnes","0"
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","120","Chemical and medical wastes (subtotal)[W01-05]","140","Recovery - energy recovery (R1)[RCV_E]","Tonnes","9965"
